Date,Open,High,Low,Close,Volume,Symbol
,BVH.VN,BVH.VN,BVH.VN,BVH.VN,BVH.VN,
2025-01-02,51200.0,52000.0,50800.0,51500.0,614300,BVH
2025-01-03,51300.0,51400.0,49750.0,49750.0,1174600,BVH
2025-01-06,49500.0,49950.0,48500.0,48500.0,1085100,BVH
2025-01-07,48500.0,49300.0,48050.0,48800.0,712500,BVH
2025-01-08,48250.0,49800.0,48250.0,49400.0,589900,BVH
2025-01-09,49000.0,49300.0,48800.0,49000.0,435700,BVH
2025-01-10,48800.0,50100.0,48600.0,49500.0,905500,BVH
2025-01-13,49000.0,49500.0,48950.0,49500.0,332800,BVH
2025-01-14,49500.0,50800.0,49500.0,50800.0,693200,BVH
2025-01-15,50900.0,51700.0,50400.0,51200.0,770900,BVH
2025-01-16,51600.0,51600.0,50100.0,51200.0,447200,BVH
2025-01-17,51000.0,52500.0,51000.0,52200.0,732800,BVH
2025-01-20,51900.0,52400.0,51600.0,52200.0,443100,BVH
2025-01-21,52300.0,53200.0,51500.0,52000.0,987200,BVH
2025-01-22,52000.0,52100.0,50700.0,50700.0,499500,BVH
2025-01-23,50800.0,51400.0,50500.0,50700.0,563800,BVH
2025-01-24,50800.0,51200.0,50300.0,50800.0,389600,BVH
2025-02-03,50800.0,51300.0,50600.0,50700.0,390000,BVH
2025-02-04,50700.0,51400.0,50700.0,51400.0,382600,BVH
2025-02-05,51400.0,51900.0,50700.0,51300.0,415400,BVH
2025-02-06,51400.0,51600.0,50800.0,51200.0,407500,BVH
2025-02-07,51200.0,53400.0,51100.0,52100.0,1239500,BVH
2025-02-10,52100.0,53400.0,51600.0,52900.0,1003500,BVH
2025-02-11,52900.0,53700.0,52600.0,52700.0,775700,BVH
2025-02-12,52900.0,55000.0,52500.0,54400.0,1456500,BVH
2025-02-13,55300.0,55300.0,54100.0,54400.0,755200,BVH
2025-02-14,54300.0,55300.0,53700.0,54400.0,1080700,BVH
2025-02-17,54400.0,55000.0,53600.0,53600.0,804200,BVH
2025-02-18,53700.0,57300.0,53200.0,57300.0,2241900,BVH
2025-02-19,57800.0,57800.0,56500.0,56500.0,429100,BVH
2025-02-20,56500.0,58400.0,56500.0,56900.0,1048400,BVH
2025-02-21,57400.0,58300.0,56200.0,58000.0,910500,BVH
2025-02-24,57400.0,58900.0,56900.0,58700.0,901200,BVH
2025-02-25,58000.0,58700.0,56800.0,57200.0,529700,BVH
2025-02-26,57300.0,57900.0,57000.0,57800.0,372300,BVH
2025-02-27,57800.0,59700.0,57600.0,57800.0,1158500,BVH
2025-02-28,57800.0,57800.0,56600.0,56600.0,767400,BVH
2025-03-03,56300.0,57000.0,56200.0,56900.0,771500,BVH
2025-03-04,56900.0,56900.0,55700.0,56600.0,677200,BVH
2025-03-05,56600.0,57300.0,56100.0,56600.0,623100,BVH
2025-03-06,57000.0,57800.0,56600.0,57700.0,877200,BVH
