Date,Open,High,Low,Close,Volume,Symbol
,MBB.VN,MBB.VN,MBB.VN,MBB.VN,MBB.VN,
2025-03-05,17727.2734375,18257.576171875,17651.515625,17840.908203125,44737598,MBB
2025-03-06,17954.544921875,18257.576171875,17803.03125,18257.576171875,40325115,MBB
2025-03-07,18371.212890625,18863.63671875,18257.576171875,18560.60546875,67294418,MBB
2025-03-10,18750.0,18863.63671875,18522.7265625,18560.60546875,25699938,MBB
2025-03-11,18333.333984375,18787.87890625,18295.455078125,18787.87890625,37361557,MBB
2025-03-12,18863.63671875,18939.39453125,18636.36328125,18636.36328125,44296045,MBB
2025-03-13,18674.2421875,18712.12109375,18333.333984375,18409.091796875,33850225,MBB
2025-03-14,18371.212890625,18522.7265625,18295.455078125,18409.091796875,26444893,MBB
2025-03-17,18484.84765625,18522.7265625,18257.576171875,18409.091796875,35912580,MBB
2025-03-18,18484.84765625,18484.84765625,18106.060546875,18106.060546875,37154013,MBB
2025-03-19,18106.060546875,18181.818359375,17954.544921875,18068.181640625,29340696,MBB
2025-03-20,18181.818359375,18446.96875,18106.060546875,18371.212890625,29650104,MBB
2025-03-21,18409.091796875,18560.60546875,18333.333984375,18409.091796875,23981100,MBB
2025-03-24,18409.091796875,18484.84765625,18143.939453125,18484.84765625,24245628,MBB
2025-03-25,18560.60546875,18598.484375,18295.455078125,18333.333984375,22009548,MBB
2025-03-26,18295.455078125,18484.84765625,18181.818359375,18181.818359375,24126036,MBB
2025-03-27,18181.818359375,18257.576171875,18106.060546875,18106.060546875,17194056,MBB
2025-03-28,18181.818359375,18257.576171875,18030.302734375,18106.060546875,21455280,MBB
2025-03-31,18068.181640625,18257.576171875,18030.302734375,18257.576171875,25552692,MBB
2025-04-01,18295.455078125,18636.36328125,18181.818359375,18636.36328125,20648641,MBB
2025-04-02,18636.36328125,18674.2421875,18446.96875,18446.96875,13937748,MBB
2025-04-03,17878.787109375,17954.544921875,17159.091796875,17159.091796875,115966092,MBB
2025-04-04,15984.8486328125,17007.576171875,15984.8486328125,17007.576171875,99525069,MBB
2025-04-08,16022.7275390625,16590.908203125,15833.3330078125,15833.3330078125,89448625,MBB
2025-04-09,14734.8486328125,16212.12109375,14734.8486328125,15643.939453125,80816445,MBB
2025-04-10,16704.544921875,16704.544921875,16704.544921875,16704.544921875,5039977,MBB
2025-04-11,17045.455078125,17803.03125,16969.697265625,17765.15234375,104254128,MBB
2025-04-14,17803.03125,17840.908203125,17537.87890625,17765.15234375,41899572,MBB
2025-04-15,17424.2421875,17727.2734375,17348.484375,17424.2421875,38956236,MBB
2025-04-16,17424.2421875,17613.63671875,17234.84765625,17348.484375,28943640,MBB
2025-04-17,17196.96875,17424.2421875,17121.212890625,17424.2421875,28503420,MBB
2025-04-18,17500.0,17765.15234375,17462.12109375,17613.63671875,42587028,MBB
2025-04-21,17803.03125,17803.03125,17272.7265625,17386.36328125,49029816,MBB
2025-04-22,17310.60546875,17537.87890625,16325.7578125,17500.0,59934600,MBB
2025-04-23,17765.15234375,17954.544921875,17500.0,17727.2734375,44695992,MBB
2025-04-24,17727.2734375,17727.2734375,17462.12109375,17613.63671875,23890812,MBB
2025-04-25,17803.03125,17992.423828125,17651.515625,17840.908203125,54000144,MBB
2025-04-28,18030.302734375,18068.181640625,17840.908203125,17954.544921875,30453060,MBB
2025-04-29,17954.544921875,17992.423828125,17840.908203125,17840.908203125,17592696,MBB
2025-05-05,17954.544921875,17992.423828125,17765.15234375,17840.908203125,25855816,MBB
2025-05-06,17878.787109375,17954.544921875,17803.03125,17840.908203125,30109424,MBB
2025-05-07,17840.908203125,17878.787109375,17575.7578125,17613.63671875,28969538,MBB
