Date,Open,High,Low,Close,Volume,Symbol
,FPT.VN,FPT.VN,FPT.VN,FPT.VN,FPT.VN,
2025-06-25,101739.1328125,103826.0859375,101739.1328125,101826.0859375,8463960,FPT
2025-06-26,102608.6953125,102869.5625,101391.3046875,101739.1328125,4867700,FPT
2025-06-27,101739.1328125,102869.5625,101652.171875,102000.0,6868950,FPT
2025-06-30,102521.7421875,103913.046875,102260.8671875,102782.609375,9263626,FPT
2025-07-01,103478.2578125,103913.046875,102782.609375,103304.3515625,14549235,FPT
2025-07-02,103043.4765625,103217.390625,102260.8671875,103130.4375,5347792,FPT
2025-07-03,103043.4765625,104173.9140625,102434.78125,102608.6953125,8345758,FPT
2025-07-04,103043.4765625,107304.3515625,102956.5234375,106521.7421875,15619598,FPT
2025-07-07,107217.390625,108434.78125,106956.5234375,107652.171875,8584754,FPT
2025-07-08,107913.046875,109304.3515625,107826.0859375,108260.8671875,9298471,FPT
2025-07-09,108521.7421875,108608.6953125,106347.828125,106782.609375,14361866,FPT
2025-07-10,107652.171875,108956.5234375,107391.3046875,107739.1328125,6229950,FPT
2025-07-11,108695.6484375,111304.3515625,108347.828125,110086.953125,12676173,FPT
2025-07-14,110608.6953125,111217.390625,108695.6484375,110521.7421875,8923096,FPT
2025-07-15,110086.953125,111130.4375,109565.21875,109565.21875,6550566,FPT
2025-07-16,110173.9140625,110434.78125,108782.609375,109826.0859375,5838606,FPT
2025-07-17,110173.9140625,112260.8671875,109565.21875,110434.78125,10387301,FPT
2025-07-18,111304.3515625,111304.3515625,109565.21875,109565.21875,8065531,FPT
2025-07-21,112400.0,112400.0,110300.0,110300.0,8815279,FPT
2025-07-22,110300.0,112200.0,108700.0,112100.0,7127237,FPT
2025-07-23,112300.0,112800.0,111300.0,111800.0,4825624,FPT
2025-07-24,112000.0,112100.0,110800.0,111100.0,6635334,FPT
2025-07-25,111100.0,111500.0,110500.0,110700.0,5160642,FPT
2025-07-28,110800.0,111600.0,110500.0,111300.0,7635424,FPT
2025-07-29,111300.0,111600.0,106000.0,106000.0,16863140,FPT
2025-07-30,107000.0,108000.0,105300.0,106100.0,7517104,FPT
2025-07-31,106100.0,106900.0,103800.0,104000.0,9029001,FPT
2025-08-01,103700.0,107400.0,101500.0,107000.0,12009590,FPT
2025-08-04,106500.0,106600.0,104800.0,106600.0,5568013,FPT
2025-08-05,107000.0,108700.0,105000.0,105800.0,12294870,FPT
2025-08-06,106000.0,106200.0,104500.0,104900.0,12760440,FPT
2025-08-07,105600.0,107400.0,104900.0,106200.0,11242080,FPT
2025-08-08,106500.0,107400.0,104800.0,105600.0,9944007,FPT
2025-08-11,105900.0,109500.0,105300.0,106400.0,10309900,FPT
2025-08-12,107400.0,108200.0,106600.0,107500.0,11035850,FPT
2025-08-13,107600.0,107800.0,104900.0,105100.0,22277030,FPT
2025-08-14,105800.0,105800.0,103700.0,103800.0,17641670,FPT
2025-08-15,103800.0,104800.0,101300.0,101400.0,18727080,FPT
2025-08-18,101400.0,103000.0,100000.0,100500.0,11450410,FPT
2025-08-19,100600.0,101500.0,100000.0,100300.0,9195795,FPT
2025-08-20,100100.0,100300.0,97500.0,97700.0,20040970,FPT
2025-08-21,97700.0,102900.0,97700.0,101700.0,13115940,FPT
2025-08-22,101600.0,101600.0,98800.0,99000.0,7246765,FPT
2025-08-25,102000.0,102000.0,98800.0,98800.0,7814632,FPT
2025-08-26,98800.0,100000.0,97900.0,100000.0,5833193,FPT
2025-08-27,101400.0,105100.0,101200.0,105000.0,19764750,FPT
2025-08-28,105100.0,105100.0,102800.0,104500.0,7522751,FPT
2025-08-29,105000.0,105000.0,101600.0,101600.0,11882660,FPT
2025-09-03,102000.0,103300.0,100000.0,103200.0,12062870,FPT
2025-09-04,103300.0,105500.0,103200.0,105000.0,15676230,FPT
2025-09-05,105200.0,105500.0,103400.0,103400.0,10707290,FPT
2025-09-08,103000.0,103900.0,101900.0,101900.0,14253670,FPT
2025-09-09,102000.0,103000.0,101000.0,102100.0,7843341,FPT
2025-09-10,102100.0,102900.0,101100.0,101200.0,8343955,FPT
2025-09-11,101200.0,102900.0,100500.0,102000.0,7433193,FPT
2025-09-12,102000.0,102900.0,101100.0,101600.0,8913375,FPT
2025-09-15,101900.0,103500.0,101500.0,101900.0,14188010,FPT
2025-09-16,102700.0,104800.0,102000.0,103500.0,18031870,FPT
2025-09-17,104000.0,107800.0,104000.0,105500.0,21564690,FPT
2025-09-18,106000.0,106300.0,103000.0,103000.0,11795170,FPT
2025-09-19,103800.0,103800.0,100500.0,103000.0,24203740,FPT
2025-09-22,102500.0,102700.0,99600.0,99700.0,17157560,FPT
2025-09-23,100000.0,100000.0,97500.0,98000.0,20483520,FPT
2025-09-24,98100.0,99500.0,97400.0,99500.0,7748532,FPT
2025-09-25,99500.0,99500.0,97900.0,98000.0,9840162,FPT
2025-09-26,98200.0,99300.0,97400.0,97500.0,9115898,FPT
2025-09-29,97800.0,97800.0,95500.0,95500.0,11578690,FPT
2025-09-30,95500.0,95800.0,92800.0,93000.0,13961910,FPT
2025-10-01,93200.0,94500.0,91400.0,93400.0,7440061,FPT
2025-10-02,92900.0,93400.0,92000.0,92100.0,10349910,FPT
